kd get the file list in the path: kd\       Sat Jun 17 20:00:55 2017

tailuzhecom get the file list in the path: tailuzhecom\       Sat Jun 17 20:00:58 2017

kd log out       Sat Jun 17 20:01:17 2017

tailuzhecom log out       Sat Jun 17 20:01:20 2017

tailuzhecom login       Sat Jun 17 20:05:34 2017

anonymous login       Sat Jun 17 20:05:42 2017

anonymous get the file list in the path: anonymous\       Sat Jun 17 20:05:44 2017

tailuzhecom get the file list in the path: tailuzhecom\       Sat Jun 17 20:05:47 2017

curry login       Sat Jun 17 20:07:17 2017

LBJ login       Sat Jun 17 20:07:35 2017

LBJ get the file list in the path: LBJ\       Sat Jun 17 20:07:36 2017

curry get the file list in the path: curry\       Sat Jun 17 20:07:39 2017

curry log out       Sat Jun 17 20:07:41 2017

LBJ log out       Sat Jun 17 20:07:44 2017

tailuzhecom login       Mon Jun 19 22:43:41 2017

tailuzhecom log out       Mon Jun 19 22:44:09 2017

tailuzhecom login       Mon Jun 19 22:45:03 2017

tailuzhecom log out       Mon Jun 19 22:45:26 2017

tailuzhecom login       Mon Jun 19 22:51:49 2017

tailuzhecom log out       Mon Jun 19 22:51:53 2017

tailuzhecom login       Mon Jun 19 22:54:51 2017

tailuzhecom log out       Mon Jun 19 22:54:56 2017

tailuzhecom login       Mon Jun 19 22:57:15 2017

tailuzhecom log out       Mon Jun 19 22:57:16 2017

tailuzhecom login       Mon Jun 19 22:59:38 2017

tailuzhecom log out       Mon Jun 19 22:59:42 2017

tailuzhecom login       Mon Jun 19 23:00:48 2017

tailuzhecom get the file list in the path: tailuzhecom\       Mon Jun 19 23:00:58 2017

tailuzhecom download the file tailuzhecom\test.jpg successfully       Mon Jun 19 23:01:04 2017

tailuzhecom log out       Mon Jun 19 23:01:06 2017

tailuzhecom login       Mon Jun 19 23:02:02 2017

tailuzhecom log out       Mon Jun 19 23:02:06 2017

tailuzhecom login       Mon Jun 19 23:03:46 2017

tailuzhecom log out       Mon Jun 19 23:03:48 2017

tailuzhecom login       Mon Jun 19 23:04:19 2017

tailuzhecom log out       Mon Jun 19 23:04:20 2017

create a new accountdurant       Tue Jun 20 15:35:01 2017

tailuzhecom login       Tue Jun 20 15:35:30 2017

tailuzhecom log out       Tue Jun 20 15:35:33 2017

create a new accountdurant       Tue Jun 20 15:36:19 2017

create a new accounttailuzhecom       Tue Jun 20 15:40:24 2017

tailuzhecom login       Tue Jun 20 15:40:54 2017

tailuzhecom upload the file tailuzhecom\M12.mp3 successfully       Tue Jun 20 15:41:30 2017

tailuzhecom log out       Tue Jun 20 15:41:37 2017

tailuzhecom login       Tue Jun 20 15:47:57 2017

create a new account kd       Tue Jun 20 15:48:43 2017

kd login       Tue Jun 20 15:48:49 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:12 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:16 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:17 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:17 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:19 2017

kd upload the file kd\123 successfully       Tue Jun 20 15:49:19 2017

tailuzhecom login       Tue Jun 20 16:02:55 2017

tailuzhecom upload the file tailuzhecom\M12.mp3 successfully       Tue Jun 20 16:03:02 2017

tailuzhecom get the file list in the path: tailuzhecom\       Tue Jun 20 16:03:05 2017

tailuzhecom log out       Tue Jun 20 16:03:14 2017

tailuzhecom login       Tue Jun 20 16:06:49 2017

tailuzhecom makes directory tailuzhecom\ a       Tue Jun 20 16:06:58 2017

tailuzhecom get the file list in the path: tailuzhecom\       Tue Jun 20 16:07:00 2017

tailuzhecom cd to the path : tailuzhecom\a\       Tue Jun 20 16:07:09 2017

tailuzhecom log out       Tue Jun 20 16:07:26 2017

tailuzhecom login       Tue Jun 20 16:09:53 2017

tailuzhecom cd to the path : tailuzhecom\a\       Tue Jun 20 16:09:59 2017

tailuzhecom log out       Tue Jun 20 16:10:49 2017

tailuzhecom login       Tue Jun 20 16:11:18 2017

tailuzhecom cd to the path : tailuzhecom\a\       Tue Jun 20 16:11:33 2017

tailuzhecom login       Tue Jun 20 16:13:42 2017

tailuzhecom get the file list in the path: tailuzhecom\       Tue Jun 20 16:13:58 2017

tailuzhecom cd to the path : tailuzhecom\a\       Tue Jun 20 16:14:00 2017

tailuzhecom log out       Tue Jun 20 16:14:23 2017

tailuzhecom login       Tue Jun 20 16:31:52 2017

tailuzhecom get the file list in the path: tailuzhecom\       Tue Jun 20 16:31:56 2017

tailuzhecom log out       Tue Jun 20 16:31:59 2017

